crop,planting_date,days_since_planting,growth_stage,season,county,soil_type,temperature,rainfall_mm,pest_pressure,disease_occurrence,next_practice,days_until_practice,priority
kale,2025-09-08,50,fruiting,short_rains,Machakos,silty,22.6,182.1,low,low,weeding,6,low
cabbage,2025-09-15,43,flowering,short_rains,Kiambu,peaty,19.9,184.3,none,medium,disease_management,0,high
tomatoes,2025-08-10,79,mature,long_rains,Kisumu,silty,28.8,129.8,none,medium,disease_management,0,high
cabbage,2025-10-16,12,seedling,short_rains,Nakuru,loamy,21.6,168.8,none,medium,disease_management,0,high
maize,2025-10-22,6,seedling,short_rains,Eldoret,loamy,27.0,140.4,low,low,irrigation,0,high
maize,2025-06-27,123,mature,long_rains,Nakuru,chalky,29.0,86.7,low,high,disease_management,0,high
potatoes,2025-10-20,8,seedling,short_rains,Eldoret,sandy,18.8,105.0,high,medium,pest_control,0,high
wheat,2025-09-07,51,vegetative,long_rains,Nakuru,clay,16.1,130.2,medium,high,pest_control,0,high
cabbage,2025-09-23,35,flowering,short_rains,Machakos,silty,22.5,140.7,high,high,pest_control,0,high
beans,2025-09-16,42,vegetative,long_rains,Eldoret,chalky,17.0,173.9,high,high,pest_control,0,high
potatoes,2025-09-28,30,vegetative,short_rains,Meru,loamy,14.3,157.3,high,none,pest_control,0,high
beans,2025-09-08,50,flowering,long_rains,Machakos,loamy,18.4,139.1,medium,medium,pest_control,0,high
kale,2025-09-20,38,flowering,long_rains,Meru,chalky,23.9,181.1,high,none,pest_control,0,high
wheat,2025-06-06,144,mature,long_rains,Nakuru,clay,16.5,88.1,medium,low,pest_control,0,high
tomatoes,2025-08-05,84,mature,long_rains,Machakos,sandy,19.9,68.0,none,none,harvesting,0,high
beans,2025-10-28,0,seedling,short_rains,Nairobi,chalky,23.1,70.9,low,high,disease_management,0,high
beans,2025-10-27,1,seedling,short_rains,Kiambu,silty,21.0,113.1,low,none,planting,0,high
tomatoes,2025-09-01,57,fruiting,long_rains,Kisumu,loamy,27.3,142.5,none,none,disease_management,0,high
tomatoes,2025-08-04,85,mature,long_rains,Nairobi,chalky,21.4,74.1,none,medium,disease_management,0,high
maize,2025-07-12,108,fruiting,long_rains,Eldoret,clay,28.7,86.1,medium,high,pest_control,0,high
potatoes,2025-09-22,36,vegetative,short_rains,Meru,loamy,22.3,148.6,none,medium,disease_management,0,high
potatoes,2025-10-16,12,seedling,short_rains,Nakuru,clay,14.0,143.4,high,high,pest_control,0,high
maize,2025-07-05,115,mature,short_rains,Kiambu,clay,25.1,140.8,none,high,disease_management,0,high
maize,2025-10-18,10,seedling,short_rains,Meru,chalky,27.5,157.1,none,high,disease_management,0,high
tomatoes,2025-09-04,54,fruiting,long_rains,Meru,chalky,24.4,182.8,high,high,pest_control,0,high
potatoes,2025-09-20,38,vegetative,short_rains,Kiambu,peaty,16.3,104.2,high,high,pest_control,0,high
beans,2025-09-05,53,flowering,short_rains,Kiambu,peaty,23.1,157.3,medium,high,pest_control,0,high
maize,2025-09-25,33,vegetative,short_rains,Kisumu,sandy,28.2,116.5,low,none,fertilizer_application,0,high
tomatoes,2025-09-16,42,flowering,long_rains,Machakos,sandy,24.3,119.6,medium,low,pest_control,0,high
tomatoes,2025-07-29,91,mature,long_rains,Meru,clay,20.1,170.8,none,high,disease_management,0,high
beans,2025-08-01,88,mature,long_rains,Machakos,silty,20.4,173.2,none,medium,disease_management,0,high
tomatoes,2025-09-14,44,flowering,long_rains,Eldoret,sandy,21.6,70.4,medium,none,pest_control,0,high
cabbage,2025-09-09,49,fruiting,short_rains,Kisumu,silty,13.1,191.6,medium,high,pest_control,0,high
potatoes,2025-08-27,62,flowering,short_rains,Meru,peaty,15.4,91.3,medium,high,pest_control,0,high
wheat,2025-10-13,15,seedling,long_rains,Meru,loamy,18.0,106.6,medium,medium,pest_control,0,high
maize,2025-08-15,74,flowering,long_rains,Meru,peaty,27.9,107.8,none,high,disease_management,0,high
cabbage,2025-09-20,38,flowering,short_rains,Kiambu,sandy,13.6,109.2,high,low,pest_control,0,high
potatoes,2025-09-04,54,flowering,short_rains,Machakos,silty,18.1,186.6,low,medium,disease_management,0,high
beans,2025-08-24,65,fruiting,short_rains,Nakuru,chalky,23.3,125.5,low,medium,disease_management,0,high
beans,2025-08-26,63,fruiting,long_rains,Kiambu,loamy,19.4,103.0,none,none,fertilizer_application,0,high
maize,2025-07-08,112,fruiting,long_rains,Eldoret,clay,20.6,172.4,none,low,fertilizer_application,2,medium
beans,2025-08-20,69,fruiting,short_rains,Nairobi,sandy,24.7,179.1,medium,medium,pest_control,0,high
kale,2025-10-05,23,vegetative,short_rains,Nakuru,clay,20.6,145.2,low,high,disease_management,0,high
wheat,2025-07-25,95,fruiting,long_rains,Nairobi,loamy,16.1,61.9,low,none,irrigation,3,medium
wheat,2025-10-14,14,seedling,long_rains,Kisumu,loamy,17.6,124.8,medium,high,pest_control,0,high
kale,2025-09-15,43,fruiting,short_rains,Nakuru,sandy,21.7,190.0,medium,low,pest_control,0,high
beans,2025-07-11,109,mature,long_rains,Nairobi,silty,25.3,78.4,low,medium,disease_management,0,high
potatoes,2025-10-19,9,seedling,short_rains,Nairobi,sandy,22.0,133.4,low,low,irrigation,0,high
wheat,2025-09-23,35,vegetative,long_rains,Nakuru,chalky,17.4,56.1,high,high,pest_control,0,high
potatoes,2025-09-23,35,vegetative,short_rains,Kisumu,peaty,18.7,71.0,high,medium,pest_control,0,high
cabbage,2025-08-09,80,mature,short_rains,Kiambu,clay,16.6,77.5,high,medium,pest_control,0,high
kale,2025-10-19,9,seedling,dry_season,Meru,sandy,15.7,33.2,low,medium,disease_management,0,high
tomatoes,2025-10-21,7,seedling,long_rains,Nakuru,chalky,23.7,130.7,low,medium,disease_management,0,high
tomatoes,2025-09-01,57,fruiting,long_rains,Eldoret,peaty,27.7,165.1,none,medium,disease_management,0,high
wheat,2025-06-23,127,mature,long_rains,Nakuru,silty,24.2,157.0,medium,medium,pest_control,0,high
cabbage,2025-09-28,30,vegetative,short_rains,Nairobi,peaty,22.0,93.3,high,none,pest_control,0,high
tomatoes,2025-09-12,46,flowering,long_rains,Eldoret,silty,25.1,131.2,none,medium,disease_management,0,high
kale,2025-09-24,34,flowering,dry_season,Nakuru,chalky,18.8,45.0,low,medium,disease_management,0,high
kale,2025-10-09,19,vegetative,short_rains,Kiambu,peaty,16.5,105.3,none,medium,disease_management,0,high
beans,2025-08-22,67,fruiting,short_rains,Eldoret,silty,24.3,156.6,high,medium,pest_control,0,high
beans,2025-10-07,21,vegetative,long_rains,Meru,clay,17.9,172.3,none,none,pest_control,0,high
potatoes,2025-09-16,42,vegetative,short_rains,Nakuru,peaty,13.9,62.4,low,medium,disease_management,0,high
beans,2025-08-18,71,fruiting,short_rains,Kisumu,peaty,19.1,67.4,none,high,disease_management,0,high
maize,2025-06-29,121,mature,long_rains,Nairobi,clay,25.8,123.8,low,low,harvesting,0,high
potatoes,2025-10-05,23,vegetative,short_rains,Kisumu,chalky,15.1,152.5,low,low,irrigation,0,high
beans,2025-10-14,14,seedling,short_rains,Kiambu,chalky,24.1,104.9,medium,none,pest_control,0,high
tomatoes,2025-08-26,63,fruiting,long_rains,Kiambu,silty,19.1,95.4,medium,none,pest_control,0,high
kale,2025-10-14,14,vegetative,long_rains,Eldoret,loamy,24.9,130.4,none,low,weeding,0,high
cabbage,2025-09-19,39,flowering,short_rains,Nairobi,clay,18.2,178.2,low,high,disease_management,0,high
kale,2025-09-08,50,fruiting,long_rains,Eldoret,chalky,18.5,156.1,none,low,weeding,6,low
kale,2025-08-23,66,mature,short_rains,Kisumu,peaty,15.6,147.9,low,none,harvesting,0,high
beans,2025-10-21,7,seedling,long_rains,Machakos,clay,19.8,72.2,none,low,fertilizer_application,0,high
beans,2025-09-29,29,vegetative,short_rains,Eldoret,peaty,24.9,66.8,low,high,disease_management,0,high
maize,2025-08-24,65,flowering,short_rains,Kisumu,chalky,26.3,118.0,medium,medium,pest_control,0,high
beans,2025-10-07,21,vegetative,short_rains,Kisumu,peaty,19.8,90.7,low,medium,disease_management,0,high
wheat,2025-08-30,59,vegetative,long_rains,Eldoret,clay,20.0,191.5,high,none,pest_control,0,high
cabbage,2025-10-17,11,seedling,short_rains,Nakuru,peaty,20.8,56.7,medium,none,pest_control,0,high
maize,2025-09-26,32,vegetative,short_rains,Nakuru,chalky,28.1,124.6,high,high,pest_control,0,high
kale,2025-08-31,58,mature,short_rains,Machakos,peaty,18.1,128.1,low,medium,disease_management,0,high
potatoes,2025-10-13,15,seedling,short_rains,Nakuru,chalky,21.4,109.9,none,low,irrigation,0,high
maize,2025-09-25,33,vegetative,short_rains,Meru,clay,28.9,131.8,low,none,fertilizer_application,0,high
cabbage,2025-10-03,25,vegetative,short_rains,Eldoret,chalky,19.1,78.1,low,low,disease_management,3,medium
beans,2025-07-13,107,mature,short_rains,Nairobi,clay,23.2,141.0,low,medium,disease_management,0,high
beans,2025-08-02,87,mature,short_rains,Kiambu,clay,25.9,122.8,high,high,pest_control,0,high
wheat,2025-06-26,124,mature,long_rains,Kiambu,sandy,21.6,85.8,high,high,pest_control,0,high
beans,2025-08-31,58,flowering,long_rains,Nakuru,clay,19.6,182.5,high,low,pest_control,0,high
tomatoes,2025-09-17,41,flowering,long_rains,Nairobi,sandy,19.9,193.3,medium,none,pest_control,0,high
beans,2025-08-23,66,fruiting,short_rains,Eldoret,clay,20.4,159.3,medium,high,pest_control,0,high
maize,2025-08-29,60,flowering,long_rains,Machakos,silty,26.5,50.9,medium,none,pest_control,0,high
cabbage,2025-08-16,73,mature,short_rains,Meru,peaty,21.3,168.2,low,medium,disease_management,0,high
maize,2025-06-28,122,mature,short_rains,Nakuru,clay,23.3,181.1,high,high,pest_control,0,high
tomatoes,2025-08-11,78,mature,long_rains,Kiambu,loamy,21.9,122.7,low,high,disease_management,0,high
beans,2025-09-14,44,vegetative,long_rains,Nakuru,chalky,26.3,156.2,high,medium,pest_control,0,high
potatoes,2025-08-13,76,fruiting,short_rains,Eldoret,loamy,14.7,93.8,none,none,fertilizer_application,4,medium
wheat,2025-07-23,97,fruiting,long_rains,Kisumu,silty,16.7,172.8,high,low,pest_control,0,high
maize,2025-07-29,91,fruiting,long_rains,Kiambu,peaty,28.5,116.1,medium,high,pest_control,0,high
kale,2025-09-21,37,flowering,long_rains,Eldoret,sandy,17.4,187.6,low,medium,disease_management,0,high
wheat,2025-07-25,95,fruiting,long_rains,Machakos,chalky,16.5,99.6,medium,medium,pest_control,0,high
tomatoes,2025-07-20,100,mature,long_rains,Machakos,sandy,23.7,70.2,high,medium,pest_control,0,high
kale,2025-08-10,79,mature,long_rains,Meru,silty,20.4,150.7,low,none,harvesting,0,high
wheat,2025-08-04,85,flowering,long_rains,Nakuru,chalky,21.9,104.9,low,low,irrigation,7,medium
potatoes,2025-09-11,47,vegetative,short_rains,Machakos,clay,21.8,142.8,low,high,disease_management,0,high
wheat,2025-09-29,29,vegetative,long_rains,Nairobi,loamy,19.6,141.0,medium,none,pest_control,0,high
tomatoes,2025-08-07,82,mature,long_rains,Nakuru,loamy,28.8,98.9,medium,none,pest_control,0,high
tomatoes,2025-10-16,12,seedling,long_rains,Machakos,peaty,22.6,156.7,low,medium,disease_management,0,high
cabbage,2025-10-14,14,vegetative,short_rains,Kisumu,silty,14.8,142.0,none,low,weeding,0,high
beans,2025-07-11,109,mature,short_rains,Kisumu,chalky,25.3,130.9,high,none,pest_control,0,high
wheat,2025-07-07,113,fruiting,long_rains,Eldoret,loamy,21.0,154.7,high,high,pest_control,0,high
cabbage,2025-09-30,28,vegetative,short_rains,Eldoret,sandy,20.8,107.8,medium,low,pest_control,0,high
wheat,2025-08-27,62,vegetative,long_rains,Nakuru,sandy,16.5,93.6,low,medium,disease_management,0,high
maize,2025-07-02,118,mature,short_rains,Nakuru,peaty,27.7,94.7,high,medium,pest_control,0,high
tomatoes,2025-09-06,52,flowering,long_rains,Meru,peaty,27.5,191.6,none,medium,disease_management,0,high
kale,2025-08-05,84,mature,short_rains,Machakos,loamy,24.4,114.7,medium,high,pest_control,0,high
tomatoes,2025-09-14,44,flowering,long_rains,Kisumu,loamy,26.3,167.4,none,low,pest_control,0,high
kale,2025-10-03,25,vegetative,long_rains,Kiambu,peaty,23.2,59.1,medium,medium,pest_control,0,high
kale,2025-10-08,20,vegetative,long_rains,Kiambu,loamy,16.0,174.3,none,medium,disease_management,0,high
kale,2025-08-15,74,mature,dry_season,Nakuru,loamy,18.0,31.4,none,high,disease_management,0,high
wheat,2025-07-18,102,fruiting,long_rains,Nakuru,silty,18.4,138.0,none,low,weeding,1,medium
maize,2025-08-25,64,flowering,long_rains,Eldoret,peaty,25.6,55.0,none,low,pest_control,0,high
cabbage,2025-10-01,27,vegetative,short_rains,Eldoret,silty,15.5,59.9,high,none,pest_control,0,high
wheat,2025-10-21,7,seedling,long_rains,Nakuru,sandy,24.3,183.4,high,low,pest_control,0,high
potatoes,2025-09-18,40,vegetative,short_rains,Nakuru,chalky,21.9,50.1,low,none,pest_control,2,medium
tomatoes,2025-09-18,40,flowering,long_rains,Kisumu,chalky,28.9,134.6,none,none,pest_control,2,medium
wheat,2025-06-24,126,mature,long_rains,Nairobi,peaty,20.6,83.9,high,none,pest_control,0,high
tomatoes,2025-10-24,4,seedling,long_rains,Nairobi,clay,28.1,52.8,low,low,irrigation,0,high
potatoes,2025-08-08,81,fruiting,short_rains,Kisumu,loamy,16.2,82.7,none,low,weeding,1,medium
potatoes,2025-06-30,120,mature,short_rains,Eldoret,loamy,14.2,147.6,high,high,pest_control,0,high
maize,2025-10-03,25,vegetative,long_rains,Eldoret,peaty,20.6,159.6,medium,none,pest_control,0,high
kale,2025-10-06,22,vegetative,short_rains,Meru,silty,23.6,190.1,none,medium,disease_management,0,high
potatoes,2025-08-09,80,fruiting,short_rains,Nairobi,silty,15.8,108.5,low,medium,disease_management,0,high
wheat,2025-08-13,76,flowering,long_rains,Nairobi,loamy,17.4,149.5,medium,high,pest_control,0,high
beans,2025-10-22,6,seedling,long_rains,Nakuru,peaty,22.0,180.8,high,medium,pest_control,0,high
kale,2025-08-27,62,mature,short_rains,Nakuru,clay,15.8,90.6,none,high,disease_management,0,high
wheat,2025-10-28,0,seedling,long_rains,Kiambu,sandy,23.7,151.8,medium,medium,pest_control,0,high
potatoes,2025-07-14,106,mature,short_rains,Kisumu,sandy,13.3,61.8,high,high,pest_control,0,high
tomatoes,2025-10-19,9,seedling,long_rains,Nairobi,peaty,28.0,78.0,none,low,irrigation,0,high
maize,2025-10-20,8,seedling,short_rains,Machakos,silty,29.1,81.6,high,none,pest_control,0,high
maize,2025-10-25,3,seedling,short_rains,Nakuru,sandy,23.8,57.3,medium,high,pest_control,0,high
potatoes,2025-09-17,41,vegetative,short_rains,Machakos,clay,18.8,113.5,medium,low,pest_control,0,high
beans,2025-08-08,81,fruiting,long_rains,Meru,peaty,25.7,144.4,low,high,disease_management,0,high
beans,2025-07-21,99,mature,short_rains,Meru,sandy,24.5,82.6,high,none,pest_control,0,high
cabbage,2025-10-06,22,vegetative,short_rains,Eldoret,chalky,13.9,69.7,low,medium,disease_management,0,high
wheat,2025-09-20,38,vegetative,long_rains,Eldoret,clay,23.0,101.2,medium,high,pest_control,0,high
tomatoes,2025-09-27,31,vegetative,long_rains,Kiambu,peaty,19.6,81.5,none,high,disease_management,0,high
beans,2025-10-14,14,seedling,long_rains,Machakos,sandy,23.1,71.6,none,high,disease_management,0,high
cabbage,2025-08-09,80,mature,short_rains,Meru,chalky,22.6,59.9,none,high,disease_management,0,high
beans,2025-07-05,115,mature,long_rains,Nairobi,chalky,26.6,59.3,low,high,disease_management,0,high
potatoes,2025-10-05,23,vegetative,short_rains,Machakos,loamy,15.2,199.7,low,medium,disease_management,0,high
potatoes,2025-07-06,114,mature,short_rains,Machakos,chalky,21.5,99.6,high,medium,pest_control,0,high
beans,2025-08-20,69,fruiting,short_rains,Machakos,clay,18.7,70.7,none,high,disease_management,0,high
tomatoes,2025-10-25,3,seedling,long_rains,Kisumu,loamy,23.4,157.9,high,low,pest_control,0,high
beans,2025-09-27,31,vegetative,short_rains,Nairobi,clay,21.5,82.8,high,none,pest_control,0,high
maize,2025-06-27,123,mature,long_rains,Machakos,sandy,24.4,72.4,none,medium,disease_management,0,high
kale,2025-08-23,66,mature,dry_season,Eldoret,peaty,19.8,31.1,high,medium,pest_control,0,high
cabbage,2025-09-10,48,flowering,short_rains,Machakos,loamy,21.0,61.7,none,high,disease_management,0,high
beans,2025-10-07,21,vegetative,long_rains,Kisumu,clay,22.6,102.8,low,low,pest_control,0,high
beans,2025-09-04,54,flowering,long_rains,Kiambu,peaty,19.8,163.7,high,none,pest_control,0,high
tomatoes,2025-07-26,94,mature,long_rains,Nakuru,sandy,22.9,181.8,low,low,harvesting,0,high
beans,2025-09-23,35,vegetative,long_rains,Nairobi,loamy,22.6,140.8,none,low,weeding,0,high
potatoes,2025-06-22,128,mature,short_rains,Kisumu,clay,16.0,144.4,high,high,pest_control,0,high
kale,2025-09-09,49,fruiting,long_rains,Machakos,clay,19.2,138.1,none,high,disease_management,0,high
kale,2025-08-22,67,mature,short_rains,Eldoret,chalky,19.5,173.2,none,none,harvesting,0,high
wheat,2025-09-30,28,vegetative,long_rains,Kisumu,silty,20.6,162.4,low,high,disease_management,0,high
beans,2025-09-20,38,vegetative,long_rains,Nakuru,sandy,19.8,101.8,medium,low,pest_control,0,high
maize,2025-09-05,53,vegetative,short_rains,Kisumu,peaty,24.0,139.0,high,low,pest_control,0,high
potatoes,2025-08-29,60,flowering,short_rains,Kiambu,clay,13.3,182.0,none,none,fertilizer_application,0,high
tomatoes,2025-09-24,34,vegetative,long_rains,Kiambu,clay,21.5,88.5,low,medium,disease_management,0,high
tomatoes,2025-08-05,84,mature,long_rains,Kisumu,silty,22.2,129.1,high,none,pest_control,0,high
tomatoes,2025-09-15,43,flowering,long_rains,Kisumu,peaty,20.0,71.8,low,medium,disease_management,0,high
beans,2025-07-05,115,mature,long_rains,Nairobi,loamy,22.2,127.2,low,low,harvesting,0,high
maize,2025-08-08,81,flowering,short_rains,Kiambu,loamy,25.3,55.9,high,none,pest_control,0,high
tomatoes,2025-10-27,1,seedling,long_rains,Kiambu,peaty,28.2,96.6,medium,medium,pest_control,0,high
kale,2025-09-28,30,flowering,short_rains,Kisumu,chalky,19.3,87.8,high,low,pest_control,0,high
kale,2025-10-01,27,vegetative,long_rains,Kiambu,loamy,15.8,69.2,high,high,pest_control,0,high
cabbage,2025-08-11,78,mature,short_rains,Eldoret,silty,19.7,141.5,none,none,harvesting,0,high
beans,2025-10-13,15,seedling,short_rains,Meru,silty,21.2,155.1,medium,none,pest_control,0,high
tomatoes,2025-08-15,74,mature,long_rains,Machakos,silty,23.9,102.8,medium,low,pest_control,0,high
wheat,2025-07-01,119,fruiting,long_rains,Kiambu,peaty,20.0,109.6,medium,low,pest_control,0,high
tomatoes,2025-10-10,18,vegetative,long_rains,Nakuru,silty,20.2,64.8,none,high,disease_management,0,high
tomatoes,2025-09-02,56,fruiting,long_rains,Eldoret,sandy,25.7,72.0,high,medium,pest_control,0,high
beans,2025-10-07,21,vegetative,short_rains,Nairobi,silty,23.2,180.6,medium,medium,pest_control,0,high
maize,2025-06-07,143,mature,short_rains,Eldoret,sandy,26.9,147.9,none,none,harvesting,0,high
kale,2025-09-12,46,fruiting,short_rains,Eldoret,sandy,18.6,165.3,medium,medium,pest_control,0,high
wheat,2025-07-24,96,fruiting,long_rains,Eldoret,chalky,18.7,70.7,medium,medium,pest_control,0,high
beans,2025-08-10,79,fruiting,long_rains,Eldoret,chalky,22.1,60.2,high,medium,pest_control,0,high
tomatoes,2025-09-22,36,vegetative,long_rains,Meru,silty,22.0,163.6,low,medium,disease_management,0,high
beans,2025-09-28,30,vegetative,long_rains,Eldoret,silty,19.2,77.1,high,medium,pest_control,0,high
maize,2025-07-27,93,fruiting,short_rains,Eldoret,peaty,26.1,177.8,none,medium,disease_management,0,high
potatoes,2025-08-17,72,fruiting,short_rains,Nairobi,loamy,14.1,182.9,low,none,weeding,7,medium
cabbage,2025-09-10,48,flowering,short_rains,Machakos,chalky,20.8,58.3,medium,high,pest_control,0,high
tomatoes,2025-08-26,63,fruiting,long_rains,Eldoret,silty,26.7,104.6,medium,high,pest_control,0,high
kale,2025-09-25,33,flowering,short_rains,Nairobi,clay,21.6,140.2,low,none,fertilizer_application,0,high
maize,2025-08-23,66,flowering,long_rains,Nakuru,loamy,21.4,193.1,medium,low,pest_control,0,high
potatoes,2025-07-03,117,mature,short_rains,Meru,loamy,14.0,58.7,medium,high,pest_control,0,high
cabbage,2025-09-07,51,fruiting,short_rains,Eldoret,chalky,22.4,116.8,high,low,pest_control,0,high
beans,2025-07-18,102,mature,long_rains,Machakos,loamy,24.8,168.9,high,medium,pest_control,0,high
wheat,2025-07-20,100,fruiting,long_rains,Meru,peaty,20.3,106.1,medium,medium,pest_control,0,high
maize,2025-06-12,138,mature,short_rains,Kiambu,chalky,28.7,114.1,none,none,harvesting,0,high
maize,2025-06-15,135,mature,short_rains,Eldoret,sandy,27.8,81.2,low,none,harvesting,0,high
tomatoes,2025-08-02,87,mature,long_rains,Nairobi,chalky,22.9,189.5,none,none,harvesting,0,high
tomatoes,2025-10-18,10,seedling,long_rains,Eldoret,sandy,21.9,184.1,low,low,irrigation,0,high
tomatoes,2025-10-23,5,seedling,long_rains,Kiambu,sandy,25.1,191.7,high,high,pest_control,0,high
potatoes,2025-10-09,19,seedling,short_rains,Kisumu,sandy,13.4,141.5,low,medium,disease_management,0,high
beans,2025-08-10,79,fruiting,long_rains,Kiambu,loamy,19.1,176.6,high,none,pest_control,0,high
cabbage,2025-09-22,36,flowering,short_rains,Nakuru,peaty,18.9,63.3,medium,none,pest_control,0,high
maize,2025-09-28,30,vegetative,short_rains,Meru,silty,20.1,80.9,high,none,pest_control,0,high
beans,2025-08-31,58,flowering,long_rains,Machakos,sandy,24.2,188.0,low,medium,disease_management,0,high
kale,2025-08-18,71,mature,short_rains,Kiambu,silty,20.0,155.5,high,none,pest_control,0,high
beans,2025-09-17,41,vegetative,short_rains,Eldoret,chalky,25.1,91.2,none,high,disease_management,0,high
beans,2025-10-25,3,seedling,short_rains,Eldoret,sandy,23.2,109.6,none,low,planting,0,high
maize,2025-07-04,116,mature,long_rains,Nairobi,silty,24.2,61.2,none,medium,disease_management,0,high
kale,2025-08-13,76,mature,long_rains,Nairobi,peaty,19.1,141.3,low,none,harvesting,0,high
beans,2025-07-25,95,mature,long_rains,Eldoret,silty,22.9,98.4,none,none,harvesting,0,high
potatoes,2025-07-06,114,mature,short_rains,Kiambu,chalky,15.6,57.5,low,high,disease_management,0,high
tomatoes,2025-09-12,46,flowering,long_rains,Kiambu,chalky,21.2,162.9,high,medium,pest_control,0,high
maize,2025-07-06,114,mature,long_rains,Eldoret,loamy,23.3,150.3,none,medium,disease_management,0,high
maize,2025-07-30,90,fruiting,short_rains,Nakuru,peaty,27.1,124.9,none,low,weeding,2,medium
potatoes,2025-08-21,68,flowering,short_rains,Machakos,peaty,17.3,131.7,low,none,fertilizer_application,1,medium
cabbage,2025-10-27,1,seedling,short_rains,Machakos,chalky,20.2,97.7,low,low,planting,0,high
tomatoes,2025-10-18,10,seedling,long_rains,Nairobi,loamy,24.7,58.1,none,low,irrigation,0,high
cabbage,2025-10-22,6,seedling,short_rains,Kisumu,clay,14.2,105.0,high,medium,pest_control,0,high
wheat,2025-07-06,114,fruiting,long_rains,Kiambu,chalky,15.6,84.6,low,high,disease_management,0,high
wheat,2025-06-02,148,mature,long_rains,Nairobi,silty,22.3,105.8,high,medium,pest_control,0,high
beans,2025-08-09,80,fruiting,long_rains,Nairobi,chalky,22.0,145.2,medium,medium,pest_control,0,high
wheat,2025-08-04,85,flowering,long_rains,Machakos,peaty,21.7,173.9,none,none,irrigation,5,medium
kale,2025-09-10,48,fruiting,long_rains,Kisumu,sandy,16.7,94.3,medium,medium,pest_control,0,high
wheat,2025-06-10,140,mature,long_rains,Nakuru,chalky,23.1,188.0,medium,low,pest_control,0,high
cabbage,2025-09-23,35,flowering,short_rains,Kiambu,silty,20.6,157.8,medium,medium,pest_control,0,high
wheat,2025-10-17,11,seedling,long_rains,Meru,loamy,23.2,65.7,high,high,pest_control,0,high
potatoes,2025-07-14,106,mature,short_rains,Nairobi,silty,20.2,188.0,none,high,disease_management,0,high
wheat,2025-07-31,89,flowering,long_rains,Kiambu,peaty,19.5,183.7,none,high,disease_management,0,high
cabbage,2025-10-02,26,vegetative,short_rains,Kisumu,chalky,19.1,157.0,medium,none,pest_control,0,high
maize,2025-07-09,111,fruiting,long_rains,Kiambu,clay,21.0,83.8,none,high,disease_management,0,high
tomatoes,2025-07-22,98,mature,long_rains,Eldoret,sandy,27.9,188.9,low,high,disease_management,0,high
beans,2025-10-06,22,vegetative,long_rains,Kiambu,silty,22.4,118.9,none,high,disease_management,0,high
wheat,2025-10-17,11,seedling,long_rains,Meru,sandy,23.8,79.7,medium,low,pest_control,0,high
cabbage,2025-09-29,29,vegetative,short_rains,Nakuru,peaty,13.1,103.6,medium,medium,pest_control,0,high
beans,2025-07-10,110,mature,short_rains,Eldoret,clay,24.4,182.9,high,high,pest_control,0,high
beans,2025-09-01,57,flowering,long_rains,Meru,chalky,22.1,87.4,low,medium,disease_management,0,high
maize,2025-08-16,73,flowering,short_rains,Kisumu,sandy,26.4,185.1,low,none,fertilizer_application,2,medium
tomatoes,2025-10-12,16,vegetative,long_rains,Nairobi,loamy,26.7,144.0,none,low,irrigation,0,high
maize,2025-07-18,102,fruiting,long_rains,Machakos,clay,28.2,143.7,none,medium,disease_management,0,high
maize,2025-10-28,0,seedling,long_rains,Kiambu,silty,20.1,182.3,low,low,planting,0,high
wheat,2025-07-23,97,fruiting,long_rains,Machakos,chalky,17.7,168.6,none,none,fertilizer_application,7,medium
wheat,2025-09-28,30,vegetative,long_rains,Kiambu,silty,17.1,106.6,low,low,irrigation,0,high
tomatoes,2025-07-15,105,mature,long_rains,Machakos,clay,28.1,155.6,low,high,disease_management,0,high
potatoes,2025-10-20,8,seedling,short_rains,Kisumu,silty,18.8,122.3,low,low,irrigation,0,high
tomatoes,2025-07-19,101,mature,long_rains,Eldoret,silty,27.7,173.3,low,none,harvesting,0,high
tomatoes,2025-09-30,28,vegetative,long_rains,Eldoret,chalky,20.6,69.6,high,medium,pest_control,0,high
wheat,2025-08-31,58,vegetative,long_rains,Eldoret,loamy,17.2,92.2,low,none,disease_management,0,high
kale,2025-09-17,41,flowering,dry_season,Meru,silty,18.5,18.2,high,medium,pest_control,0,high
kale,2025-08-28,61,mature,long_rains,Eldoret,sandy,19.3,156.6,none,low,harvesting,0,high
kale,2025-08-17,72,mature,dry_season,Kiambu,clay,18.0,24.4,high,high,pest_control,0,high
potatoes,2025-07-08,112,mature,short_rains,Kiambu,peaty,14.8,89.4,high,none,pest_control,0,high
tomatoes,2025-09-29,29,vegetative,long_rains,Kiambu,sandy,22.1,121.4,low,medium,disease_management,0,high
potatoes,2025-09-11,47,vegetative,short_rains,Machakos,loamy,17.0,67.8,low,low,fertilizer_application,4,medium
potatoes,2025-07-05,115,mature,short_rains,Eldoret,silty,18.8,93.9,low,none,harvesting,0,high
kale,2025-08-31,58,mature,short_rains,Meru,silty,21.2,69.1,none,high,disease_management,0,high
kale,2025-08-21,68,mature,short_rains,Eldoret,peaty,20.1,111.6,high,none,pest_control,0,high
cabbage,2025-07-29,91,mature,short_rains,Meru,chalky,21.5,195.8,low,high,disease_management,0,high
tomatoes,2025-08-11,78,mature,long_rains,Kiambu,silty,25.0,188.6,low,none,harvesting,0,high
